SPEC,HCPCS,MOD,FACILITY,"UNDISCOUNTED_
ALLOWED_SERVICES","WORK_ADJUSTED_
ALLOWED_SERVICES*","PE_ADJUSTED_
ALLOWED_SERVICES*","MP_ADJUSTED_
ALLOWED_SERVICES*"
76,98977,,N,4.8,4.91,5.25,3.54
77,98977,,N,12.8,13.14,13.87,10.09
78,98977,,N,31.7,31.52,31.24,45.86
81,98977,,N,123.2,126,132.58,144.54
81,98977,,Y,29.7,31.51,35.18,54.37
82,98977,,N,0.8,0.8,0.82,0.26
83,98977,,N,14.6,14.95,15.79,15.86
84,98977,,N,219.8,235.87,291.96,113.9
89,98977,,N,10.2,9.84,9.12,8.09
90,98977,,N,1.6,1.67,1.9,1.16
92,98977,,N,2.5,2.56,2.54,2.88
93,98977,,N,479.4,477.8,472.4,406.99
93,98977,,Y,10.3,10.05,9.65,8.28
94,98977,,N,4.1,4.07,3.95,3.66
94,98977,,Y,4.1,4.05,3.83,3.71
97,98977,,N,565.6,568.31,579.76,557.38
97,98977,,Y,28.8,29.2,30.62,15.65
98,98977,,N,5.1,5.39,6.19,6.28
99,98977,,N,11.2,10.99,10.79,9.58
99,98977,,Y,0.6,0.58,0.57,0.28
C0,98977,,N,458.5,452.41,446.21,386.01
C0,98977,,Y,0.1,0.1,0.09,0.1
C3,98977,,N,2103.2,2080.88,2040.73,2377.19
C3,98977,,Y,5.7,5.61,5.5,3.42
C6,98977,,N,198.6,205.17,225.03,270.69
C6,98977,,Y,2.2,2.17,2.09,1.67
C7,98977,,N,59.8,58.94,56.14,46.08
C7,98977,,Y,31.5,30.49,28.66,13.89
D4,98977,,N,0.6,0.59,0.6,1.09
50,98977,22,N,0.1,0.1,0.1,0.19
01,98977,25,N,0.5,0.48,0.47,0.73
03,98977,25,N,0.2,0.22,0.27,0.09
05,98977,25,N,13.4,13.13,12.42,9.94
06,98977,25,N,38.4,40.09,45.29,30.51
08,98977,25,N,178.4,179.63,183.31,190.06
08,98977,25,Y,0.9,0.97,1.2,0.48
10,98977,25,N,54,51.53,46.1,26.61
11,98977,25,N,246.8,249.32,245.81,190.64
11,98977,25,Y,0.1,0.1,0.09,0.11
16,98977,25,N,1.8,1.73,1.6,1.41
17,98977,25,N,0.1,0.1,0.09,0.15
20,98977,25,N,3.4,3.46,3.61,3.08
25,98977,25,N,0.6,0.62,0.67,0.67
26,98977,25,N,2,2.09,2.4,1.74
29,98977,25,N,1.1,1.12,1.18,1.15
38,98977,25,N,5,4.97,4.94,3.7
38,98977,25,Y,0.1,0.1,0.11,0.11
39,98977,25,N,5.3,5.14,4.76,2.89
46,98977,25,N,0.3,0.3,0.29,0.29
46,98977,25,Y,0.1,0.11,0.14,0.05
48,98977,25,N,4.2,4.42,4.93,3.92
50,98977,25,N,187.3,184.48,180.3,221.06
50,98977,25,Y,11.1,11.49,13.11,6.78
83,98977,25,N,0.1,0.1,0.1,0.07
93,98977,25,N,6.5,6.52,6.68,5.02
97,98977,25,N,1.4,1.39,1.39,1.26
C3,98977,25,N,1.2,1.2,1.25,1.24
20,98977,50,N,0.4,0.38,0.34,0.2
01,98980,,N,2094.15,2119.09,2164.26,1771.15
01,98980,,Y,4.05,4.13,4.4,2.68
02,98980,,N,26.55,26.19,24.74,21.85
02,98980,,Y,1.05,1.02,0.94,1.24
03,98980,,N,100.95,106.49,125.02,107.61
03,98980,,Y,0.45,0.44,0.44,0.33
04,98980,,N,57.45,57.81,56.57,56.91
05,98980,,N,1364.25,1356.31,1358.26,1150
05,98980,,Y,47.85,46.92,44.5,35.53
06,98980,,N,24624.75,24929.63,26132.83,28222.03
06,98980,,Y,409.8,413.01,434.72,378.2
08,98980,,N,22944.75,22958.56,23163.43,21873.71
08,98980,,Y,810.15,801.98,771.88,774.55
09,98980,,N,1054.2,1056.99,1073.61,1213.81
09,98980,,Y,0.15,0.15,0.14,0.11
10,98980,,N,1391.55,1378.35,1364.68,1283.35
10,98980,,Y,1.8,1.77,1.7,1.34
11,98980,,N,45399.48,46010.63,47618.36,49805.53
11,98980,,Y,659.7,670.75,711.3,593.74
12,98980,,N,183.9,181.01,173.36,230.57
13,98980,,N,687.9,698.94,706.63,774.05
13,98980,,Y,30,31.64,36.23,36.77
14,98980,,N,91.5,87.94,81.1,73.28
14,98980,,Y,0.45,0.43,0.4,0.36
16,98980,,N,132.75,132.1,130.29,112.15
16,98980,,Y,0.15,0.15,0.14,0.14
17,98980,,N,12.6,12.46,12.54,16.95
18,98980,,N,11.25,11.05,10.31,12.5
18,98980,,Y,0.15,0.15,0.15,0.38
20,98980,,N,499.05,504,514.54,418.9
20,98980,,Y,3.15,3.41,4.22,1.6
21,98980,,N,1735.35,1767.59,1879.59,2033.44
21,98980,,Y,48.45,47.74,46.92,29.32
22,98980,,N,19.2,19.98,22.38,13.98
23,98980,,N,78.45,80.82,88.84,57.82
25,98980,,N,358.35,366.47,392.31,401.25
